path,owner_surface,file_class,status,checks,evidence_pointer,notes
src/core/schemas.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/validation.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/dataset/__init__.py,pipeline,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/dataset/colab_cache.py,pipeline,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/dataset/colab_dataloader.py,pipeline,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/dataset/colab_datasets.py,pipeline,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/dataset/error_handling.py,pipeline,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/debugging/__init__.py,monitoring/debugging/utils,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/debugging/collectors.py,monitoring/debugging/utils,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/debugging/monitoring.py,monitoring/debugging/utils,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/debugging/monitoring_types.py,monitoring/debugging/utils,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/debugging/performance_monitor.py,monitoring/debugging/utils,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/evaluation/__init__.py,tests/ci/meta,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
